Model,Family,Platform,# of CPU Cores,# of Threads,Base Clock,score
A10-7300 with Radeon™ R6 Graphics,AMD A-Series Processors,Laptop,4.0,4.0,1.9,3.176434729479829
TL-60,AMD Turion™,Laptop,2.0,2.0,2.0,3.0404994018949325
A4-7210 with Radeon™ R3 Graphics,AMD A-Series Processors,All-in-One,4.0,4.0,1.8,3.0381221545126844
N960,AMD Phenom™,Laptop,4.0,4.0,1.8,3.0381221545126844
E2-7110 with Radeon™ R2 Graphics,AMD E-Series Processors,Laptop,4.0,4.0,1.8,3.0381221545126844
A4-7210 with Radeon™ R3 Graphics,AMD A-Series Processors,Laptop,4.0,4.0,1.8,3.0381221545126844
A8-7100 with Radeon™ R5 Graphics,AMD A-Series Processors,Laptop,4.0,4.0,1.8,3.0381221545126844
A10-8700P with Radeon™ R6 Graphics,AMD A-Series Processors,All-in-One,4.0,4.0,1.8,3.0381221545126844
E2-7110 with Radeon™ R2 Graphics,AMD E-Series Processors,All-in-One,4.0,4.0,1.8,3.0381221545126844
A6-6310 with Radeon™ R4 Graphics,AMD A-Series Processors,Desktop,4.0,4.0,1.8,3.0381221545126844
6th Gen AMD PRO A10-8700B APU,AMD PRO A-Series Processors,Laptop,4.0,4.0,1.8,3.0381221545126844
6th Gen A10-8700P APU,AMD A-Series Processors,Laptop,4.0,4.0,1.8,3.0381221545126844
A4-6210 with Radeon™ R3 Graphics,AMD A-Series Processors,Laptop,4.0,4.0,1.8,3.0381221545126844
E2-7110 with Radeon™ R2 Graphics,AMD E-Series Processors,Laptop,4.0,4.0,1.8,3.0381221545126844
7th Gen A6-9220C APU,AMD A-Series Processors,Laptop,2.0,2.0,1.8,2.763874251960643
6th Gen AMD PRO A8-8600B APU,AMD PRO A-Series Processors,Laptop,4.0,4.0,1.6,2.7614970045783958
6th Gen A8-8600P APU,AMD A-Series Processors,Laptop,4.0,4.0,1.6,2.7614970045783958
Athlon™ 5150 APU with Radeon™ R3 Series,AMD Athlon™ Processors,Desktop,4.0,4.0,1.6,2.7614970045783958
A4 Micro-6400T with Radeon™ R3 Graphics,AMD A-Series Processors,"Laptop, Tablet",4.0,4.0,1.6,2.7614970045783958
